Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,27.160000,27.160000,27.160000,27.160000,4.829385,0
1990-01-03,27.190001,27.190001,27.190001,27.190001,4.834722,0
1990-01-04,27.160000,27.160000,27.160000,27.160000,4.829385,0
1990-01-05,27.020000,27.020000,27.020000,27.020000,4.804491,0
1990-01-08,27.020000,27.020000,27.020000,27.020000,4.804491,0
1990-01-09,26.850000,26.850000,26.850000,26.850000,4.774264,0
1990-01-10,26.690001,26.690001,26.690001,26.690001,4.745813,0
1990-01-11,26.760000,26.760000,26.760000,26.760000,4.758262,0
1990-01-12,26.320000,26.320000,26.320000,26.320000,4.680024,0
1990-01-15,26.139999,26.139999,26.139999,26.139999,4.648017,0
1990-01-16,26.219999,26.219999,26.219999,26.219999,4.662241,0
1990-01-17,26.129999,26.129999,26.129999,26.129999,4.646238,0
1990-01-18,26.049999,26.049999,26.049999,26.049999,4.632011,0
1990-01-19,26.049999,26.049999,26.049999,26.049999,4.632011,0
1990-01-22,25.639999,25.639999,25.639999,25.639999,4.559110,0
1990-01-23,25.620001,25.620001,25.620001,25.620001,4.555555,0
1990-01-24,25.430000,25.430000,25.430000,25.430000,4.521770,0
1990-01-25,25.350000,25.350000,25.350000,25.350000,4.507545,0
1990-01-26,25.150000,25.150000,25.150000,25.150000,4.471984,0
1990-01-29,25.020000,25.020000,25.020000,25.020000,4.448866,0
1990-01-30,24.910000,24.910000,24.910000,24.910000,4.429307,0
1990-01-31,25.250000,25.250000,25.250000,25.250000,4.489764,0
1990-02-01,25.320000,25.320000,25.320000,25.320000,4.502212,0
1990-02-02,25.430000,25.430000,25.430000,25.430000,4.521770,0
1990-02-05,25.480000,25.480000,25.480000,25.480000,4.530662,0
1990-02-06,25.360001,25.360001,25.360001,25.360001,4.509322,0
1990-02-07,25.440001,25.440001,25.440001,25.440001,4.523547,0
1990-02-08,25.379999,25.379999,25.379999,25.379999,4.512878,0
1990-02-09,25.360001,25.360001,25.360001,25.360001,4.509322,0
1990-02-12,25.160000,25.160000,25.160000,25.160000,4.473762,0
