Date,Open,High,Low,Close,Adj Close,Volume
2011-05-05,47.310001,47.310001,47.310001,47.310001,38.162529,0
2011-05-06,47.500000,47.500000,47.500000,47.500000,38.315800,0
2011-05-09,47.709999,47.709999,47.709999,47.709999,38.485191,0
2011-05-10,48.099998,48.099998,48.099998,48.099998,38.799782,0
2011-05-11,47.590000,47.590000,47.590000,47.590000,38.388390,0
2011-05-12,47.830002,47.830002,47.830002,47.830002,38.582001,0
2011-05-13,47.439999,47.439999,47.439999,47.439999,38.267380,0
2011-05-16,47.150002,47.150002,47.150002,47.150002,38.033463,0
2011-05-17,47.150002,47.150002,47.150002,47.150002,38.033463,0
2011-05-18,47.570000,47.570000,47.570000,47.570000,38.372253,0
2011-05-19,47.680000,47.680000,47.680000,47.680000,38.460983,0
2011-05-20,47.310001,47.310001,47.310001,47.310001,38.162529,0
2011-05-23,46.750000,46.750000,46.750000,46.750000,37.710812,0
2011-05-24,46.709999,46.709999,46.709999,46.709999,37.678547,0
2011-05-25,46.860001,46.860001,46.860001,46.860001,37.799538,0
2011-05-26,47.060001,47.060001,47.060001,47.060001,37.960873,0
2011-05-27,47.259998,47.259998,47.259998,47.259998,38.122196,0
2011-05-31,47.759998,47.759998,47.759998,47.759998,38.525528,0
2011-06-01,46.680000,46.680000,46.680000,46.680000,37.654346,0
2011-06-02,46.619999,46.619999,46.619999,46.619999,37.605938,0
2011-06-03,46.169998,46.169998,46.169998,46.169998,37.242950,0
2011-06-06,45.680000,45.680000,45.680000,45.680000,36.847691,0
2011-06-07,45.639999,45.639999,45.639999,45.639999,36.815434,0
2011-06-08,45.450001,45.450001,45.450001,45.450001,36.662167,0
2011-06-09,45.790001,45.790001,45.790001,45.790001,36.936420,0
2011-06-10,45.150002,45.150002,45.150002,45.150002,36.420166,0
2011-06-13,45.189999,45.189999,45.189999,45.189999,36.452431,0
2011-06-14,45.770000,45.770000,45.770000,45.770000,36.920300,0
2011-06-15,44.970001,44.970001,44.970001,44.970001,36.274967,0
2011-06-16,45.060001,45.060001,45.060001,45.060001,36.347565,0
2011-06-17,45.189999,45.189999,45.189999,45.189999,36.452431,0
2011-06-20,45.439999,45.439999,45.439999,45.439999,36.654102,0
2011-06-21,46.049999,46.049999,46.049999,46.049999,37.146149,0
2011-06-22,45.759998,45.759998,45.759998,45.759998,36.912224,0
2011-06-23,45.630001,45.630001,45.630001,45.630001,36.807377,0
2011-06-24,45.090000,45.090000,45.090000,45.090000,36.371769,0
2011-06-27,45.509998,45.509998,45.509998,45.509998,36.710567,0
2011-06-28,46.110001,46.110001,46.110001,46.110001,37.194546,0
2011-06-29,46.500000,46.500000,46.500000,46.500000,37.509140,0
2011-06-30,46.970001,46.970001,46.970001,46.970001,37.888275,0
2011-07-01,47.650002,47.650002,47.650002,47.650002,38.436790,0
2011-07-05,47.590000,47.590000,47.590000,47.590000,38.388390,0
2011-07-06,47.650002,47.650002,47.650002,47.650002,38.436790,0
2011-07-07,48.150002,48.150002,48.150002,48.150002,38.840115,0
2011-07-08,47.580002,47.580002,47.580002,47.580002,38.380322,0
2011-07-11,46.720001,46.720001,46.720001,46.720001,37.686607,0
2011-07-12,46.509998,46.509998,46.509998,46.509998,37.517208,0
2011-07-13,46.660000,46.660000,46.660000,46.660000,37.638203,0
2011-07-14,46.349998,46.349998,46.349998,46.349998,37.388138,0
2011-07-15,46.610001,46.610001,46.610001,46.610001,37.597881,0
2011-07-18,46.230000,46.230000,46.230000,46.230000,37.291359,0
2011-07-19,46.980000,46.980000,46.980000,46.980000,37.896339,0
2011-07-20,46.959999,46.959999,46.959999,46.959999,37.880203,0
2011-07-21,47.599998,47.599998,47.599998,47.599998,38.396450,0
2011-07-22,47.639999,47.639999,47.639999,47.639999,38.428730,0
2011-07-25,47.369999,47.369999,47.369999,47.369999,38.210926,0
2011-07-26,47.180000,47.180000,47.180000,47.180000,38.057663,0
2011-07-27,46.220001,46.220001,46.220001,46.220001,37.283291,0
2011-07-28,46.080002,46.080002,46.080002,46.080002,37.170361,0
2011-07-29,45.779999,45.779999,45.779999,45.779999,36.928368,0
2011-08-01,45.590000,45.590000,45.590000,45.590000,36.775108,0
2011-08-02,44.430000,44.430000,44.430000,44.430000,35.839363,0
2011-08-03,44.660000,44.660000,44.660000,44.660000,36.024918,0
2011-08-04,42.529999,42.529999,42.529999,42.529999,34.306744,0
2011-08-05,42.509998,42.509998,42.509998,42.509998,34.290615,0
2011-08-08,39.680000,39.680000,39.680000,39.680000,32.007797,0
2011-08-09,41.560001,41.560001,41.560001,41.560001,33.524307,0
2011-08-10,39.750000,39.750000,39.750000,39.750000,32.064274,0
2011-08-11,41.590000,41.590000,41.590000,41.590000,33.548500,0
2011-08-12,41.810001,41.810001,41.810001,41.810001,33.725964,0
2011-08-15,42.720001,42.720001,42.720001,42.720001,34.460003,0
2011-08-16,42.320000,42.320000,42.320000,42.320000,34.137352,0
2011-08-17,42.369999,42.369999,42.369999,42.369999,34.177681,0
2011-08-18,40.480000,40.480000,40.480000,40.480000,32.653126,0
2011-08-19,39.880001,39.880001,39.880001,39.880001,32.169125,0
2011-08-22,39.889999,39.889999,39.889999,39.889999,32.177212,0
2011-08-23,41.250000,41.250000,41.250000,41.250000,33.274239,0
2011-08-24,41.799999,41.799999,41.799999,41.799999,33.717896,0
2011-08-25,41.150002,41.150002,41.150002,41.150002,33.193577,0
2011-08-26,41.779999,41.779999,41.779999,41.779999,33.701763,0
2011-08-29,42.970001,42.970001,42.970001,42.970001,34.661694,0
2011-08-30,43.070000,43.070000,43.070000,43.070000,34.742336,0
2011-08-31,43.290001,43.290001,43.290001,43.290001,34.919815,0
2011-09-01,42.779999,42.779999,42.779999,42.779999,34.508415,0
2011-09-02,41.700001,41.700001,41.700001,41.700001,33.637230,0
2011-09-06,41.389999,41.389999,41.389999,41.389999,33.387173,0
2011-09-07,42.590000,42.590000,42.590000,42.590000,34.355152,0
2011-09-08,42.139999,42.139999,42.139999,42.139999,33.992157,0
2011-09-09,41.020000,41.020000,41.020000,41.020000,33.088715,0
2011-09-12,41.299999,41.299999,41.299999,41.299999,33.314587,0
2011-09-13,41.689999,41.689999,41.689999,41.689999,33.629166,0
2011-09-14,42.259998,42.259998,42.259998,42.259998,34.088963,0
2011-09-15,42.990002,42.990002,42.990002,42.990002,34.677814,0
2011-09-16,43.240002,43.240002,43.240002,43.240002,34.879478,0
2011-09-19,42.810001,42.810001,42.810001,42.810001,34.532631,0
2011-09-20,42.740002,42.740002,42.740002,42.740002,34.476147,0
2011-09-21,41.490002,41.490002,41.490002,41.490002,33.467846,0
2011-09-22,40.169998,40.169998,40.169998,40.169998,32.403065,0
2011-09-23,40.419998,40.419998,40.419998,40.419998,32.604721,0
2011-09-26,41.360001,41.360001,41.360001,41.360001,33.362972,0
2011-09-27,41.799999,41.799999,41.799999,41.799999,33.717896,0
2011-09-28,40.950001,40.950001,40.950001,40.950001,33.032249,0
2011-09-29,41.279999,41.279999,41.279999,41.279999,33.298439,0
2011-09-30,40.250000,40.250000,40.250000,40.250000,32.467594,0
2011-10-03,39.099998,39.099998,39.099998,39.099998,31.539948,0
2011-10-04,39.990002,39.990002,39.990002,39.990002,32.257870,0
2011-10-05,40.720001,40.720001,40.720001,40.720001,32.846725,0
2011-10-06,41.470001,41.470001,41.470001,41.470001,33.451710,0
2011-10-07,40.919998,40.919998,40.919998,40.919998,33.186497,0
2011-10-10,42.310001,42.310001,42.310001,42.310001,34.313801,0
2011-10-11,42.330002,42.330002,42.330002,42.330002,34.330032,0
2011-10-12,42.750000,42.750000,42.750000,42.750000,34.670643,0
2011-10-13,42.630001,42.630001,42.630001,42.630001,34.573334,0
2011-10-14,43.369999,43.369999,43.369999,43.369999,35.173489,0
2011-10-17,42.529999,42.529999,42.529999,42.529999,34.492218,0
2011-10-18,43.400002,43.400002,43.400002,43.400002,35.197823,0
2011-10-19,42.860001,42.860001,42.860001,42.860001,34.759861,0
2011-10-20,43.060001,43.060001,43.060001,43.060001,34.922058,0
2011-10-21,43.869999,43.869999,43.869999,43.869999,35.578983,0
2011-10-24,44.430000,44.430000,44.430000,44.430000,36.033127,0
2011-10-25,43.540001,43.540001,43.540001,43.540001,35.311352,0
2011-10-26,44.000000,44.000000,44.000000,44.000000,35.684399,0
2011-10-27,45.520000,45.520000,45.520000,45.520000,36.917133,0
2011-10-28,45.529999,45.529999,45.529999,45.529999,36.925259,0
2011-10-31,44.410000,44.410000,44.410000,44.410000,36.016933,0
2011-11-01,43.169998,43.169998,43.169998,43.169998,35.011269,0
2011-11-02,43.869999,43.869999,43.869999,43.869999,35.578983,0
2011-11-03,44.700001,44.700001,44.700001,44.700001,36.252113,0
2011-11-04,44.419998,44.419998,44.419998,44.419998,36.025028,0
